id,label
172461,602
78824,303
11949,502
158129,401
143777,602
40105,302
106010,602
64426,505
106728,401
177477,503
192608,302
187287,502
14107,602
27345,101
8005,202
186334,503
87095,502
49189,502
84735,505
160374,602
147955,105
189455,502
164779,302
20539,502
58091,401
154532,505
89407,602
141866,101
81956,302
158214,503
190834,502
79937,207
166666,602
82936,507
127329,601
186967,105
118540,503
30741,503
62768,508
44302,105
133001,601
186332,104
4460,401
53560,505
128175,401
21333,201
194955,302
83524,302
110065,502
65467,503
134738,104
108100,302
137684,403
74832,302
73340,302
71629,211
50625,502
147085,503
94940,105
114063,106
95484,302
44920,508
30658,602
182200,503
101349,302
76662,505
36430,211
145644,302
92307,302
65869,106
193173,302
4891,502
71795,201
51894,201
119046,601
42585,105
19962,603
41103,202
151446,604
150836,501
128904,502
46141,602
23671,401
176099,402
114648,503
164129,505
153728,503
73468,201
149088,104
152866,602
68832,105
187221,106
166246,505
72814,504
177130,302
75159,503
80455,502
14023,202
187133,401
36139,302
66137,302
42396,302
158605,302
61559,106
113979,506
144716,302
43294,401
187654,106
162663,503
90672,502
134364,502
133927,106
60323,201
112658,601
48778,502
119311,503
18763,403
65376,503
25276,302
97743,201
185086,601
172474,502
122079,302
52055,401
26212,601
86600,303
111985,106
91911,302
107223,503
69490,602
116906,302
136405,302
37294,401
88436,502
161683,201
185783,502
195174,501
118965,211
134258,505
42133,502
191176,601
115178,502
98230,104
90820,602
104721,302
94362,401
194723,302
164137,506
75464,302
164389,505
62586,303
187374,602
71025,106
104235,503
101050,601
61019,501
159279,303
114455,502
48375,602
70965,302
132057,505
112835,204
82324,506
55578,303
110967,207
5105,106
52205,602
159137,501
97509,503
21249,502
118102,603
10291,302
112647,203
32857,302
192925,502
153552,601
85318,207
189804,505
71707,106
165077,602
120040,505
117888,502
152974,603
34230,503
34824,501
13373,201
39950,207
185282,508
8677,302
89231,504
69423,503
48753,104
190656,503
185996,103
189043,104
192943,505
102879,207
125679,503
122989,201
78693,604
98205,504
47596,401
26631,507
12068,105
177123,503
128025,502
164649,106
136820,506
123702,504
135958,502
105514,503
40245,601
1876,503
191361,601
101853,503
18620,503
162665,502
99925,502
79286,603
59857,105
169638,505
189094,505
190514,303
192068,503
40797,602
79583,103
100310,207
187377,601
16341,302
102756,402
26130,502
8083,503
36704,103
36903,105
111981,303
115476,503
79774,602
87273,302
46012,302
122550,201
175590,502
144298,503
161501,502
43421,502
134420,506
58420,501
70210,505
127224,202
161212,502
85840,502
102531,502
121895,505
144228,602
170244,106
152916,502
181748,503
36513,505
78705,507
61607,502
146762,602
37910,502
87313,503
74027,501
76162,106
117119,106
32175,503
30407,401
162849,401
27821,302
45405,302
95375,211
160812,505
88944,603
178263,501
142421,502
