id,label
39963,680000
115565,40000
260600,30000
24719,680000
368251,380000
296875,100000
111145,110000
360978,140000
84727,160000
328361,160000
176129,760000
19066,140000
41010,30000
236857,650000
342762,60000
377046,60000
275021,270000
40013,160000
115321,100000
179955,140000
22387,760000
144926,60000
325235,160000
238168,140000
359047,340000
34448,680000
163127,760000
379533,60000
393962,340000
289506,60000
283795,340000
5223,760000
393324,60000
359808,760000
44068,340000
363264,100000
107151,60000
39411,150000
236280,100000
314347,270000
82529,760000
354600,680000
190402,140000
134690,270000
378102,760000
287741,60000
186373,20000
188051,140000
48056,760000
252379,170000
37397,140000
46503,380000
132743,760000
141019,160000
18330,160000
291461,770000
3541,100000
116244,60000
287421,270000
224957,310000
192743,760000
82826,60000
291962,30000
264892,30000
284822,760000
100882,680000
199772,140000
142698,310000
294320,100000
316371,60000
47662,290000
147941,680000
289540,680000
154548,100000
138684,170000
67953,30000
205503,60000
255080,20000
760,60000
389468,30000
383250,140000
88751,160000
64524,760000
181905,760000
116476,100000
368822,760000
340804,140000
170304,60000
171036,160000
239213,760000
332267,340000
73106,140000
265784,150000
121304,170000
43008,60000
331531,40000
316709,670000
227462,110000
265200,100000
116547,140000
315156,760000
21835,110000
169147,340000
215463,170000
129968,40000
2632,60000
166245,150000
164746,340000
339854,270000
223434,683500
320953,770000
33352,770000
220033,340000
339690,670000
272044,730000
234211,500000
269474,40000
119746,290000
16098,290000
237862,100000
325773,340000
16007,60000
141908,760000
347152,170000
80712,140000
93569,760000
292765,20000
20305,60000
119450,60000
282289,30000
383188,380000
324579,760000
240559,270000
20612,550000
23679,340000
119756,100000
341280,520000
144992,60000
293093,760000
269467,760000
320292,140000
359920,290000
126475,760000
1550,380000
135838,100000
391070,60000
104598,160000
56823,150000
49431,760000
175851,270000
276225,100000
113731,140000
74612,760000
381645,30000
177919,160000
332729,140000
114246,20000
262882,550000
110009,270000
359913,140000
285180,20000
31710,60000
215547,760000
93822,770000
247590,60000
251680,730000
268186,140000
370701,760000
16483,60000
240841,550000
142843,30000
254967,160000
130468,760000
38903,60000
378654,160000
275530,150000
160665,140000
280708,290000
5142,730000
121290,30000
354321,760000
234551,680000
64451,60000
158609,730000
127799,760000
355000,760000
331127,20000
36925,500000
352192,760000
239607,180000
332804,340000
333795,160000
137489,100000
59653,20000
37974,500000
101044,60000
232561,110000
85154,520000
132924,760000
243408,340000
212921,140000
393410,670000
42192,760000
134351,550000
203009,760000
942,140000
308040,140000
40677,150000
89944,520000
317959,670000
49548,160000
378785,60000
184833,160000
7231,680000
102534,760000
248811,180000
328817,60000
178140,770000
84294,60000
159905,290000
189493,20000
278535,140000
84398,30000
215814,40000
344137,310000
111317,60000
160692,100000
308647,680000
151736,60000
16018,30000
1909,60000
52869,30000
2022,60000
47562,30000
39333,380000
206044,140000
235514,730000
178753,270000
193134,40000
316493,680000
377082,670000
79789,60000
363386,60000
31702,680000
311589,160000
23158,140000
380848,760000
330396,40000
174304,60000
71324,680000
130041,760000
188945,110000
23893,60000
79079,20000
300338,180000
8509,140000
177446,500000
210806,30000
94166,140000
225011,60000
327614,170000
253205,60000
308520,340000
183811,60000
269152,60000
198415,60000
128346,140000
342599,100000
170515,670000
75345,380000
134635,100000
224400,760000
346693,170000
217201,140000
385487,680000
156563,340000
146408,760000
219830,340000
300061,140000
85373,140000
327538,340000
19183,140000
392486,310000
119135,270000
135110,100000
171439,100000
196827,760000
265984,670000
36565,760000
195043,100000
8996,380000
224542,760000
110403,650000
54253,100000
344231,140000
336925,100000
74140,340000
307910,100000
148398,100000
277089,140000
255185,40000
65349,60000
294653,760000
253462,760000
359551,760000
62731,30000
132428,680000
288120,100000
253514,650000
334978,500000
382386,310000
282372,680000
8383,30000
373441,150000
51458,760000
67314,140000
321012,140000
137356,60000
278,100000
115729,40000
147069,160000
34866,60000
311687,140000
117204,770000
276731,140000
81853,683500
229934,20000
134321,550000
245428,340000
282379,100000
6146,30000
386238,60000
136845,130000
347605,60000
98403,760000
145983,550000
244468,40000
352870,180000
140680,60000
376905,340000
29719,520000
272995,760000
234364,160000
76213,30000
189224,30000
266205,140000
331067,680000
232072,760000
363159,380000
42948,30000
95568,290000
325975,760000
98135,60000
313075,310000
116935,160000
260443,760000
103175,680000
205865,140000
124060,160000
200767,290000
255485,160000
148135,760000
288929,140000
65474,290000
67921,60000
333101,150000
37750,760000
84654,140000
255264,20000
56808,340000
655,30000
177602,140000
6649,290000
323063,100000
87121,130000
1213,100000
9109,60000
98085,680000
217337,650000
44833,20000
187070,760000
667,100000
171549,140000
373712,270000
376024,520000
372128,60000
241440,60000
113021,340000
311742,100000
254290,760000
141798,760000
292330,20000
155818,140000
378575,760000
99667,140000
98393,140000
332312,140000
314964,140000
244745,60000
86356,60000
256666,30000
259964,160000
23007,60000
225029,30000
177287,40000
31263,670000
43732,650000
18766,100000
294676,770000
152572,760000
177181,140000
266317,100000
293859,180000
24264,310000
103371,380000
191523,140000
365758,680000
359506,60000
366768,100000
378680,760000
6689,760000
207479,100000
12418,760000
207491,60000
147533,680000
365269,150000
61512,140000
297732,770000
239127,270000
262072,110000
260529,180000
271975,140000
181785,770000
295868,440000
236664,150000
187553,140000
368671,60000
329519,30000
31007,770000
304815,60000
329889,60000
346689,140000
284348,760000
179979,60000
351654,100000
356524,270000
190582,40000
201861,60000
49679,30000
71710,500000
332356,290000
3142,340000
168523,770000
381589,60000
245562,130000
327112,20000
375911,680000
136481,140000
239589,60000
246873,520000
355399,650000
64137,20000
24434,760000
99599,60000
268663,760000
332735,60000
119086,30000
131301,60000
363231,100000
366917,60000
268719,160000
187392,340000
240326,140000
300640,760000
318363,30000
180537,140000
381272,170000
244879,760000
339863,60000
305496,683500
257659,760000
204523,60000
222874,60000
371226,160000
279461,760000
31354,170000
88493,680000
391902,60000
176416,60000
158486,100000
218293,60000
352539,60000
227012,170000
165665,60000
332977,680000
226112,60000
375052,60000
206289,760000
171661,760000
85458,270000
148594,100000
289811,60000
171140,140000
225433,130000
300346,100000
204469,30000
222449,140000
55912,110000
218936,100000
18457,680000
278661,140000
384467,140000
88610,770000
218558,770000
251311,680000
230499,760000
316738,680000
371657,100000
239862,550000
382123,20000
103899,150000
